collection_name,source_file,diagram_title_or_architecture_name,recommended_diagram_type,rendered_svg_path,rendered_png_path,intended_latex_usage_notes
advanced-cloud-architecture-plantuml,advanced-cloud-architecture-plantuml/diagrams/11_rapid_provisioning.puml,Rapid Provisioning,Sequence,svg/advanced-cloud-architecture-plantuml/diagrams/11_rapid_provisioning.svg,png/advanced-cloud-architecture-plantuml/diagrams/11_rapid_provisioning.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/advanced-cloud-architecture-plantuml/diagrams/11_rapid_provisioning.png."
advanced-cloud-architecture-plantuml,advanced-cloud-architecture-plantuml/diagrams/12_storage_workload_management.puml,Storage Workload Management,Sequence,svg/advanced-cloud-architecture-plantuml/diagrams/12_storage_workload_management.svg,png/advanced-cloud-architecture-plantuml/diagrams/12_storage_workload_management.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/advanced-cloud-architecture-plantuml/diagrams/12_storage_workload_management.png."
advanced-cloud-architecture-plantuml,advanced-cloud-architecture-plantuml/diagrams/13_virtual_private_cloud.puml,Virtual Private Cloud,Deployment,svg/advanced-cloud-architecture-plantuml/diagrams/13_virtual_private_cloud.svg,png/advanced-cloud-architecture-plantuml/diagrams/13_virtual_private_cloud.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/advanced-cloud-architecture-plantuml/diagrams/13_virtual_private_cloud.png."
advanced-cloud-architecture-plantuml,advanced-cloud-architecture-plantuml/diagrams/14_case_study_example.puml,Case Study (Innovartus Role Player),Component,svg/advanced-cloud-architecture-plantuml/diagrams/14_case_study_example.svg,png/advanced-cloud-architecture-plantuml/diagrams/14_case_study_example.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/advanced-cloud-architecture-plantuml/diagrams/14_case_study_example.png."
cloud-arch-plantuml,cloud-arch-plantuml/00_overview_architecture_families.puml,Chapter 13 - Fundamental Cloud Architectures (Overview),Unspecified,svg/cloud-arch-plantuml/00_overview_architecture_families.svg,png/cloud-arch-plantuml/00_overview_architecture_families.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/00_overview_architecture_families.png."
cloud-arch-plantuml,cloud-arch-plantuml/01_workload_distribution.puml,Workload Distribution Architecture - Structure,Unspecified,svg/cloud-arch-plantuml/01_workload_distribution.svg,png/cloud-arch-plantuml/01_workload_distribution.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/01_workload_distribution.png."
cloud-arch-plantuml,cloud-arch-plantuml/02a_resource_pooling_subpools.puml,Resource Pooling Architecture - Pool Composition,Unspecified,svg/cloud-arch-plantuml/02a_resource_pooling_subpools.svg,png/cloud-arch-plantuml/02a_resource_pooling_subpools.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/02a_resource_pooling_subpools.png."
cloud-arch-plantuml,cloud-arch-plantuml/02b_resource_pooling_hierarchy.puml,Resource Pooling Architecture - Sibling and Nested Pools,Unspecified,svg/cloud-arch-plantuml/02b_resource_pooling_hierarchy.svg,png/cloud-arch-plantuml/02b_resource_pooling_hierarchy.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/02b_resource_pooling_hierarchy.png."
cloud-arch-plantuml,cloud-arch-plantuml/02c_resource_pooling_mechanisms.puml,Resource Pooling Architecture - Involved Mechanisms,Unspecified,svg/cloud-arch-plantuml/02c_resource_pooling_mechanisms.svg,png/cloud-arch-plantuml/02c_resource_pooling_mechanisms.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/02c_resource_pooling_mechanisms.png."
cloud-arch-plantuml,cloud-arch-plantuml/03a_dynamic_scalability_sequence.puml,Dynamic Scalability Architecture - Horizontal Scaling Flow,Unspecified,svg/cloud-arch-plantuml/03a_dynamic_scalability_sequence.svg,png/cloud-arch-plantuml/03a_dynamic_scalability_sequence.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/03a_dynamic_scalability_sequence.png."
cloud-arch-plantuml,cloud-arch-plantuml/03b_dynamic_scalability_activity.puml,Dynamic Scalability Architecture - Scaling Decision Logic,Unspecified,svg/cloud-arch-plantuml/03b_dynamic_scalability_activity.svg,png/cloud-arch-plantuml/03b_dynamic_scalability_activity.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/03b_dynamic_scalability_activity.png."
cloud-arch-plantuml,cloud-arch-plantuml/04a_elastic_resource_capacity_sequence.puml,Elastic Resource Capacity Architecture - Vertical Scaling Flow,Unspecified,svg/cloud-arch-plantuml/04a_elastic_resource_capacity_sequence.svg,png/cloud-arch-plantuml/04a_elastic_resource_capacity_sequence.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/04a_elastic_resource_capacity_sequence.png."
cloud-arch-plantuml,cloud-arch-plantuml/04b_elastic_resource_capacity_components.puml,Elastic Resource Capacity Architecture - Mechanisms,Unspecified,svg/cloud-arch-plantuml/04b_elastic_resource_capacity_components.svg,png/cloud-arch-plantuml/04b_elastic_resource_capacity_components.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/04b_elastic_resource_capacity_components.png."
cloud-arch-plantuml,cloud-arch-plantuml/05a_service_load_balancing_external.puml,Service Load Balancing Architecture - External Load Balancer,Unspecified,svg/cloud-arch-plantuml/05a_service_load_balancing_external.svg,png/cloud-arch-plantuml/05a_service_load_balancing_external.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/05a_service_load_balancing_external.png."
cloud-arch-plantuml,cloud-arch-plantuml/05b_service_load_balancing_builtin.puml,Service Load Balancing Architecture - Built-in Load Balancer,Unspecified,svg/cloud-arch-plantuml/05b_service_load_balancing_builtin.svg,png/cloud-arch-plantuml/05b_service_load_balancing_builtin.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/05b_service_load_balancing_builtin.png."
cloud-arch-plantuml,cloud-arch-plantuml/06a_cloud_bursting_deployment.puml,Cloud Bursting Architecture - Burst-Out and Burst-In,Unspecified,svg/cloud-arch-plantuml/06a_cloud_bursting_deployment.svg,png/cloud-arch-plantuml/06a_cloud_bursting_deployment.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/06a_cloud_bursting_deployment.png."
cloud-arch-plantuml,cloud-arch-plantuml/06b_cloud_bursting_activity.puml,Cloud Bursting Architecture - Burst Decision Flow,Unspecified,svg/cloud-arch-plantuml/06b_cloud_bursting_activity.svg,png/cloud-arch-plantuml/06b_cloud_bursting_activity.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/06b_cloud_bursting_activity.png."
cloud-arch-plantuml,cloud-arch-plantuml/07a_elastic_disk_provisioning_sequence.puml,Elastic Disk Provisioning Architecture - Thin-Provisioning Flow,Unspecified,svg/cloud-arch-plantuml/07a_elastic_disk_provisioning_sequence.svg,png/cloud-arch-plantuml/07a_elastic_disk_provisioning_sequence.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/07a_elastic_disk_provisioning_sequence.png."
cloud-arch-plantuml,cloud-arch-plantuml/07b_elastic_disk_provisioning_comparison.puml,Elastic Disk Provisioning - Fixed vs Elastic Allocation,Unspecified,svg/cloud-arch-plantuml/07b_elastic_disk_provisioning_comparison.svg,png/cloud-arch-plantuml/07b_elastic_disk_provisioning_comparison.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/07b_elastic_disk_provisioning_comparison.png."
cloud-arch-plantuml,cloud-arch-plantuml/08a_redundant_storage_components.puml,Redundant Storage Architecture - Failover System,Unspecified,svg/cloud-arch-plantuml/08a_redundant_storage_components.svg,png/cloud-arch-plantuml/08a_redundant_storage_components.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/08a_redundant_storage_components.png."
cloud-arch-plantuml,cloud-arch-plantuml/08b_redundant_storage_sequence.puml,Redundant Storage Architecture - Replication and Failover Sequence,Unspecified,svg/cloud-arch-plantuml/08b_redundant_storage_sequence.svg,png/cloud-arch-plantuml/08b_redundant_storage_sequence.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/08b_redundant_storage_sequence.png."
cloud-arch-plantuml,cloud-arch-plantuml/09a_multicloud_deployment.puml,Multicloud Architecture - Resources Distributed Across Public Clouds,Unspecified,svg/cloud-arch-plantuml/09a_multicloud_deployment.svg,png/cloud-arch-plantuml/09a_multicloud_deployment.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/09a_multicloud_deployment.png."
cloud-arch-plantuml,cloud-arch-plantuml/09b_multicloud_rationale.puml,Multicloud Architecture - Provider Selection Rationale,Unspecified,svg/cloud-arch-plantuml/09b_multicloud_rationale.svg,png/cloud-arch-plantuml/09b_multicloud_rationale.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/09b_multicloud_rationale.png."
cloud-arch-plantuml,cloud-arch-plantuml/10_case_study_atn.puml,Case Study - ATN Remote Upload Module Cloud Bursting,Unspecified,svg/cloud-arch-plantuml/10_case_study_atn.svg,png/cloud-arch-plantuml/10_case_study_atn.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/cloud-arch-plantuml/10_case_study_atn.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/01_direct_io_access.puml,Direct I/O Access Architecture - Virtual server bypasses the hypervisor to use the physical I/O card,Unspecified,svg/specialized_cloud_architectures_puml/01_direct_io_access.svg,png/specialized_cloud_architectures_puml/01_direct_io_access.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/01_direct_io_access.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/02_direct_lun_access.puml,Direct LUN Access Architecture - Virtual servers reach RAW block-based LUNs via a physical HBA,Unspecified,svg/specialized_cloud_architectures_puml/02_direct_lun_access.svg,png/specialized_cloud_architectures_puml/02_direct_lun_access.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/02_direct_lun_access.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/03_dynamic_data_normalization.puml,Dynamic Data Normalization Architecture - De-duplication examines blocks before storage and replaces redundant blocks with pointers,Unspecified,svg/specialized_cloud_architectures_puml/03_dynamic_data_normalization.svg,png/specialized_cloud_architectures_puml/03_dynamic_data_normalization.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/03_dynamic_data_normalization.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/04_elastic_network_capacity.puml,Elastic Network Capacity Architecture - Dynamic allocation of bandwidth and ports to avoid runtime bottlenecks,Unspecified,svg/specialized_cloud_architectures_puml/04_elastic_network_capacity.svg,png/specialized_cloud_architectures_puml/04_elastic_network_capacity.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/04_elastic_network_capacity.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/05_cross_storage_device_vertical_tiering.puml,Cross-Storage Device Vertical Tiering Architecture - LUN scales up across devices without disconnecting consumers,Unspecified,svg/specialized_cloud_architectures_puml/05_cross_storage_device_vertical_tiering.svg,png/specialized_cloud_architectures_puml/05_cross_storage_device_vertical_tiering.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/05_cross_storage_device_vertical_tiering.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/06_intra_storage_device_vertical_data_tiering.puml,Intra-Storage Device Vertical Data Tiering Architecture - LUNs migrate between graded disk tiers inside a single storage device,Unspecified,svg/specialized_cloud_architectures_puml/06_intra_storage_device_vertical_data_tiering.svg,png/specialized_cloud_architectures_puml/06_intra_storage_device_vertical_data_tiering.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/06_intra_storage_device_vertical_data_tiering.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/07_load_balanced_virtual_switches.puml,Load-Balanced Virtual Switches Architecture - Multiple uplinks (NIC team) distribute traffic to avoid bottlenecks,Unspecified,svg/specialized_cloud_architectures_puml/07_load_balanced_virtual_switches.svg,png/specialized_cloud_architectures_puml/07_load_balanced_virtual_switches.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/07_load_balanced_virtual_switches.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/08_multipath_resource_access.puml,Multipath Resource Access Architecture - Alternative paths keep an IT resource reachable when one path fails,Unspecified,svg/specialized_cloud_architectures_puml/08_multipath_resource_access.svg,png/specialized_cloud_architectures_puml/08_multipath_resource_access.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/08_multipath_resource_access.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/09_persistent_virtual_network_configuration.puml,Persistent Virtual Network Configuration Architecture - Centralized switch + VIM replicate config so migrated VMs keep network connectivity,Unspecified,svg/specialized_cloud_architectures_puml/09_persistent_virtual_network_configuration.svg,png/specialized_cloud_architectures_puml/09_persistent_virtual_network_configuration.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/09_persistent_virtual_network_configuration.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/10_redundant_physical_connection_virtual_servers.puml,Redundant Physical Connection for Virtual Servers Architecture - Standby uplink takes over transparently when the primary uplink fails,Unspecified,svg/specialized_cloud_architectures_puml/10_redundant_physical_connection_virtual_servers.svg,png/specialized_cloud_architectures_puml/10_redundant_physical_connection_virtual_servers.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/10_redundant_physical_connection_virtual_servers.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/11_storage_maintenance_window.puml,Storage Maintenance Window Architecture - Live storage migration redirects consumers to a secondary device during maintenance,Unspecified,svg/specialized_cloud_architectures_puml/11_storage_maintenance_window.svg,png/specialized_cloud_architectures_puml/11_storage_maintenance_window.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/11_storage_maintenance_window.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/12_edge_computing.puml,Edge Computing Architecture - Intermediate edge layer between cloud and consumer locations,Unspecified,svg/specialized_cloud_architectures_puml/12_edge_computing.svg,png/specialized_cloud_architectures_puml/12_edge_computing.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/12_edge_computing.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/13_fog_computing.puml,Fog Computing Architecture - Intermediary fog layer relays and pre-processes data between edges and the cloud,Unspecified,svg/specialized_cloud_architectures_puml/13_fog_computing.svg,png/specialized_cloud_architectures_puml/13_fog_computing.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/13_fog_computing.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/14_virtual_data_abstraction.puml,Virtual Data Abstraction Architecture - A data virtualization layer presents a uniform API over disparate data sources,Unspecified,svg/specialized_cloud_architectures_puml/14_virtual_data_abstraction.svg,png/specialized_cloud_architectures_puml/14_virtual_data_abstraction.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/14_virtual_data_abstraction.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/15_metacloud.puml,"Metacloud Architecture - A centralized control layer abstracts cross-cloud management, operations, security, and governance",Unspecified,svg/specialized_cloud_architectures_puml/15_metacloud.svg,png/specialized_cloud_architectures_puml/15_metacloud.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/15_metacloud.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/16_federated_cloud_application.puml,Federated Cloud Application Architecture - Application services placed across clouds where each placement is most advantageous,Unspecified,svg/specialized_cloud_architectures_puml/16_federated_cloud_application.svg,png/specialized_cloud_architectures_puml/16_federated_cloud_application.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/16_federated_cloud_application.png."
specialized_cloud_architectures_puml,specialized_cloud_architectures_puml/index_specialized_cloud_architectures.puml,Specialized Cloud Architectures - Index - Grouping by major concern (Chapter 15),Unspecified,svg/specialized_cloud_architectures_puml/index_specialized_cloud_architectures.svg,png/specialized_cloud_architectures_puml/index_specialized_cloud_architectures.png,"From a LaTeX document under src/architecture/cloud/architecture, use \includegraphics with cloud-architecture-diagram-library/png/specialized_cloud_architectures_puml/index_specialized_cloud_architectures.png."



